palatable,height,color,family,name
False,0.9144000000000001,Yellow,Poaceae,Blepharoneuron tricholepis
False,1.18872,Yellow,Urticaceae,Boehmeria cylindrica
False,2.4384,White,Asteraceae,Boltonia asteroides
False,0.7924800000000001,Yellow,Asteraceae,Borrichia frutescens
False,1.2192,Yellow,Poaceae,Bothriochloa barbinodis
False,0.9144000000000001,Yellow,Poaceae,Bothriochloa bladhii
False,0.6096,Yellow,Poaceae,Bothriochloa ischaemum var. ischaemum
False,1.2192,Yellow,Poaceae,Bothriochloa ischaemum var. songarica
False,0.9144000000000001,Yellow,Poaceae,Bothriochloa pertusa
False,0.762,White,Poaceae,Bouteloua breviseta
False,0.9144000000000001,Yellow,Poaceae,Bouteloua curtipendula
False,0.6096,Yellow,Poaceae,Bouteloua eriopoda
False,0.3048,Yellow,Poaceae,Bouteloua gracilis
True,1.2192,Yellow,Brassicaceae,Brassica juncea
True,1.2192,Yellow,Brassicaceae,Brassica napus
True,1.2192,Red,Bromeliaceae,Bromelia pinguin
False,0.6096,Yellow,Poaceae,Bromus anomalus
False,0.9144000000000001,Yellow,Poaceae,Bromus arvensis
False,0.48768000000000006,Yellow,Poaceae,Bromus briziformis
False,1.2192,Yellow,Poaceae,Bromus carinatus
False,0.9144000000000001,Yellow,Poaceae,Bromus catharticus
False,1.2192,Yellow,Poaceae,Bromus ciliatus
False,0.6096,Yellow,Poaceae,Bromus hordeaceus ssp. hordeaceus
False,1.3716000000000002,Yellow,Poaceae,Bromus inermis
False,0.9144000000000001,Yellow,Poaceae,Bromus kalmii
False,1.2192,Yellow,Poaceae,Bromus marginatus
False,0.39624000000000004,Yellow,Poaceae,Bromus rubens
False,1.524,Yellow,Poaceae,Bromus sitchensis
False,0.3048,Yellow,Poaceae,Bromus vulgaris
False,15.24,Yellow,Combretaceae,Bucida buceras
False,12.192,Green,Burseraceae,Bursera simaruba
True,10.668000000000001,White,Fabaceae,Caesalpinia gilliesii
True,3.048,Yellow,Fabaceae,Cajanus cajan
False,1.524,Yellow,Poaceae,Calamagrostis breweri
False,1.4935200000000002,Green,Poaceae,Calamagrostis canadensis
False,1.4935200000000002,Green,Poaceae,Calamagrostis coarctata
False,0.9144000000000001,Yellow,Poaceae,Calamagrostis rubescens
False,0.9144000000000001,Purple,Poaceae,Calamagrostis stricta ssp. inexpansa
False,0.9144000000000001,Yellow,Poaceae,Calamagrostis stricta ssp. stricta
False,1.8288000000000002,Yellow,Poaceae,Calamovilfa longifolia
False,0.9144000000000001,Purple,Fabaceae,Calliandra eriophylla
False,2.7432000000000003,White,Verbenaceae,Callicarpa americana
True,0.3048,Red,Malvaceae,Callirhoe involucrata
False,0.24384000000000003,Green,Callitrichaceae,Callitriche palustris
False,30.48,Yellow,Cupressaceae,Calocedrus decurrens
False,0.54864,Purple,Liliaceae,Calochortus macrocarpus
False,19.812,Orange,Clusiaceae,Calophyllum antillanum
True,0.3048,White,Ranunculaceae,Caltha leptosepala
False,0.6096,Yellow,Ranunculaceae,Caltha palustris
False,9.144,White,Menispermaceae,Calycocarpum lyonii
True,0.70104,Blue,Liliaceae,Camassia quamash
True,0.762,Blue,Liliaceae,Camassia scilloides
False,0.6096,White,Campanulaceae,Campanula aparinoides
False,1.8288000000000002,Blue,Campanulaceae,Campanulastrum americanum
False,0.6096,Red,Bignoniaceae,Campsis radicans
False,0.9144000000000001,Purple,Asteraceae,Canadanthus modestus
True,10.0584,Red,Canellaceae,Canella winterana
False,6.096,Purple,Capparaceae,Capparis cynophallophora
False,4.8768,White,Capparaceae,Capparis flexuosa
False,3.6576000000000004,Yellow,Fabaceae,Caragana arborescens
False,0.54864,White,Brassicaceae,Cardamine breweri var. breweri
False,0.42672,White,Brassicaceae,Cardamine bulbosa
False,0.45720000000000005,White,Brassicaceae,Cardamine cordifolia
False,0.3048,Purple,Brassicaceae,Cardamine douglassii
False,0.5181600000000001,White,Brassicaceae,Cardamine oligosperma
False,0.45720000000000005,White,Brassicaceae,Cardamine pensylvanica
False,0.21336,Green,Cyperaceae,Carex abscondita
False,1.18872,Green,Cyperaceae,Carex albolutescens
False,0.6096,Green,Cyperaceae,Carex amphibola
False,0.6096,Brown,Cyperaceae,Carex aperta
False,0.88392,Green,Cyperaceae,Carex aquatilis
False,1.524,Green,Cyperaceae,Carex atherodes
False,0.6096,Green,Cyperaceae,Carex athrostachya
False,0.54864,Green,Cyperaceae,Carex atlantica
False,0.36576000000000003,Green,Cyperaceae,Carex aurea
False,0.6400800000000001,Green,Cyperaceae,Carex baileyi
False,0.9144000000000001,Green,Cyperaceae,Carex bebbii
False,0.6096,Green,Cyperaceae,Carex bella
False,1.0363200000000001,Green,Cyperaceae,Carex bicknellii
False,0.12192000000000001,Green,Cyperaceae,Carex bigelowii
False,0.6096,Green,Cyperaceae,Carex blanda
False,0.6096,Green,Cyperaceae,Carex bushii
False,0.6096,Green,Cyperaceae,Carex canescens
False,0.5181600000000001,Green,Cyperaceae,Carex capillaris
False,0.7924800000000001,Green,Cyperaceae,Carex cephalophora
False,1.524,Green,Cyperaceae,Carex comosa
False,1.5849600000000001,Green,Cyperaceae,Carex crinita
False,0.9144000000000001,Green,Cyperaceae,Carex cristatella
False,0.9144000000000001,Green,Cyperaceae,Carex crus-corvi
False,0.9144000000000001,Green,Cyperaceae,Carex debilis
False,1.3716000000000002,Green,Cyperaceae,Carex decomposita
False,1.15824,Green,Cyperaceae,Carex deweyana
False,0.9144000000000001,Green,Cyperaceae,Carex diandra
